country,score,gdp,social,health,freedom,generosity,trust,year,iso_alpha,region,sub_region,dystopia_residual
Ghana,4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355,2015,GHA,Africa,Sub-Saharan Africa,2.3087199999999997
Zimbabwe,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079,2015,ZWE,Africa,Sub-Saharan Africa,2.4422200000000003
Liberia,4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232,2015,LBR,Africa,Sub-Saharan Africa,2.77686
India,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,2015,IND,Asia,Southern Asia,2.2754500000000006
Sudan,4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466,2015,SDN,Africa,Northern Africa,2.20808
Haiti,4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175,2015,HTI,Americas,Latin America and the Caribbean,2.2419100000000003
Congo (Kinshasa),4.517,0.0,1.0012,0.09806,0.22605,0.24834,0.07625,2015,COD,Africa,Sub-Saharan Africa,2.8671
Nepal,4.514,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907,2015,NPL,Asia,Southern Asia,1.9559499999999996
Ethiopia,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,2015,ETH,Africa,Sub-Saharan Africa,2.448429999999999
Sierra Leone,4.507,0.33024,0.95571,0.0,0.4084,0.21488,0.08786,2015,SLE,Africa,Sub-Saharan Africa,2.5099099999999996
Mauritania,4.436,0.45407,0.86908,0.35874,0.24232,0.219,0.17461,2015,MRT,Africa,Sub-Saharan Africa,2.1181799999999997
Kenya,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839,2015,KEN,Africa,Sub-Saharan Africa,1.7852199999999994
Djibouti,4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,2015,DJI,Africa,Sub-Saharan Africa,2.05105
Armenia,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039,2015,ARM,Asia,Western Asia,1.7587599999999997
Botswana,4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474,2015,BWA,Africa,Sub-Saharan Africa,1.4617499999999994
Myanmar,4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034,2015,MMR,Asia,South-eastern Asia,1.4180200000000003
Georgia,4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331,2015,GEO,Asia,Western Asia,1.5956699999999997
Malawi,4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977,2015,MWI,Africa,Sub-Saharan Africa,2.80741
Sri Lanka,4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179,2015,LKA,Asia,Southern Asia,0.6713200000000001
